word,meaning,word_type,last_sound,can_combine
ಆದಿ,,,ಿ,yes
ಬುರ್ಜೋರ್ಜಿ,,,ಿ,yes
ಗೋದ್ರೇಜ್,,,್,yes
ಜನನ,,,ನ,yes
ಏಪ್ರಿಲ್,,,್,yes
ಒಬ್ಬ,,,ಬ,yes
ಭಾರತೀಯ,,,ಯ,yes
ಬಿಲಿಯನೇರ್,,,್,yes
ಉದ್ಯಮಿ,,,ಿ,yes
ಮತ್ತು,,,ು,yes
ಕೈಗಾರಿಕೋದ್ಯಮಿ,,,ಿ,yes
ಇವರು,,,ು,yes
ಕುಟುಂಬದ,,,ದ,yes
ಮುಖ್ಯಸ್ಥ,,,ಥ,yes
ಗ್ರೂಪ್,,,್,yes
ಅಧ್ಯಕ್ಷರು,,,ು,yes
ಅಕ್ಟೋಬರ್,,,್,yes
ಹೊತ್ತಿಗೆ,,,ೆ,yes
ಯುಎಸ್,,,್,yes
ಬಿಲಿಯನ್,,,್,yes
ನಿವ್ವಳ,,,ಳ,yes
ಮೌಲ್ಯವನ್ನು,,,ು,yes
ಹೊಂದಿದ್ದರು,,,ು,yes
ಆರಂಭಿಕ,,,ಕ,yes
ಜೀವನ,,,ನ,yes
ಅವರು,,,ು,yes
ತಮ್ಮ,,,ಮ,yes
ಶಿಕ್ಷಣವನ್ನು,,,ು,yes
ಸೇಂಟ್,,,್,yes
ಕ್ಸೇವಿಯರ್ಸ್,,,್,yes
ಹೈಸ್ಕೂಲ್,,,್,yes
ಕ್ಸೇವಿಯರ್,,,್,yes
ಕಾಲೇಜು,,,ು,yes
ಮುಂಬೈನಲ್ಲಿ,,,ಿ,yes
ಪೂರ್ಣಗೊಳಿಸಿದರು,,,ು,yes
ಎಚ್ಎಲ್,,,್,yes
ಕಾಲೇಜಿನಲ್ಲಿ,,,ಿ,yes
ಪದವಿ,,,ಿ,yes
ಪದವಿಪೂರ್ವ,,,ವ,yes
ಪಡೆದರು,,,ು,yes
ಎಂಐಟಿ,,,ಿ,yes
ಸ್ಲೋನ್,,,್,yes
ಸ್ಕೂಲ್,,,್,yes
ಆಫ್,,,್,yes
ಮ್ಯಾನೇಜ್,,,್,yes
ಮೆಂಟ್,,,್,yes
ನಲ್ಲಿ,,,ಿ,yes
ಎಂಬಿಎ,,,ಎ,yes
ಪದವಿಗಳಿಸಿದರು,,,ು,yes
ಅಲ್ಲಿ,,,ಿ,yes
ಪೈ,,,ೈ,yes
ಲ್ಯಾಂಬ್ಡಾ,,,ಾ,yes
ಫಿ,,,ಿ,yes
ಫ್ರಾಟರ್ನಿಟಿ,,,ಿ,yes
ಟೌ,,,ೌ,yes
ಬೀಟಾ,,,ಾ,yes
ಪೈಯಲ್ಲಿ,,,ಿ,yes
ಸದಸ್ಯರಾಗಿದ್ದರು,,,ು,yes
ವೃತ್ತಿ,,,ಿ,yes
ಭಾರತಕ್ಕೆ,,,ೆ,yes
ಹಿಂದಿರುಗಿದ,,,ದ,yes
ನಂತರ,,,ರ,yes
ವ್ಯವಹಾರಕ್ಕೆ,,,ೆ,yes
ಸೇರಿ,,,ಿ,yes
ನಿರ್ವಹಣಾ,,,ಾ,yes
ರಚನೆಯನ್ನು,,,ು,yes
ಆಧುನೀಕರಿಸಿದರು,,,ು,yes
ಪ್ರಕ್ರಿಯೆ,,,ೆ,yes
ಸುಧಾರಣೆಗಳನ್ನು,,,ು,yes
ಜಾರಿಗೆ,,,ೆ,yes
ತಂದರು,,,ು,yes
ಇಂಡಸ್ಟ್ರೀಸ್,,,್,yes
ಬ್ರದರ್,,,್,yes
ಮ್ಯಾನೇಜಿಂಗ್,,,್,yes
ಡೈರೆಕ್ಟರ್,,,್,yes
ಅಗ್ರೋವೆಟ್,,,್,yes
ಅಧ್ಯಕ್ಷರಾದ,,,ದ,yes
ನಾದಿರ್,,,್,yes
ಅವರ,,,ರ,yes
ಸೋದರಸಂಬಂಧಿ,,,ಿ,yes
ರಲ್ಲಿ,,,ಿ,yes
ಹಿಡುವಳಿ,,,ಿ,yes
ಕಂಪನಿಯಾದ,,,ದ,yes
